location_city,location_country,location_state,start_date
Saint Louis,United States,Missouri,20161030_202432
Saint Louis,United States,Missouri,20161029_202433
Saint Louis,United States,Missouri,20161028_232434
Saint Louis,United States,Missouri,20161027_230353
Saint Louis,United States,Missouri,20161026_230130
Saint Louis,United States,Missouri,20161025_160353
Saint Louis,United States,Missouri,20161023_201308
Saint Louis,United States,Missouri,20161021_221304
Saint Louis,United States,Missouri,20161020_153931
Saint Louis,United States,Missouri,20161019_132047
Saint Louis,United States,Missouri,20161017_154630
Saint Louis,United States,Missouri,20161017_000736
Saint Louis,United States,Missouri,20161015_215458
Saint Louis,United States,Missouri,20161014_214229
Saint Louis,United States,Missouri,20161013_224001
Saint Louis,United States,Missouri,20161011_230841
Saint Louis,United States,Missouri,20161010_235945
Saint Louis,United States,Missouri,20161008_222416
Saint Louis,United States,Missouri,20161006_211912
Saint Louis,United States,Missouri,20161005_162035
Saint Louis,United States,Missouri,20161004_225858
Saint Louis,United States,Missouri,20161003_144828
Saint Louis,United States,Missouri,20161002_150317
Saint Louis,United States,Missouri,20160929_165025
Saint Louis,United States,Missouri,20160926_164621
Saint Louis,United States,Missouri,20160925_022854
Saint Louis,United States,Missouri,20160923_134652
Saint Louis,United States,Missouri,20160919_011521
Saint Louis,United States,Missouri,20160918_012644
Saint Louis,United States,Missouri,20160913_144951
Saint Louis,United States,Missouri,20160911_225542
Saint Louis,United States,Missouri,20160910_222315
Saint Louis,United States,Missouri,20160908_123806
Saint Louis,United States,Missouri,20160831_145104
Saint Louis,United States,Missouri,20160827_134535
Saint Louis,United States,Missouri,20160825_135243
Saint Louis,United States,Missouri,20160823_220748
Saint Louis,United States,Missouri,20160822_023211
Saint Louis,United States,Missouri,20160818_012351
Saint Louis,United States,Missouri,20160816_011319
Saint Louis,United States,Missouri,20160813_134618
Saint Louis,United States,Missouri,20160810_165043
Saint Louis,United States,Missouri,20160809_005027
Saint Louis,United States,Missouri,20160808_004637
Saint Louis,United States,Missouri,20160806_004039
Saint Louis,United States,Missouri,20160803_130013
Saint Louis,United States,Missouri,20160801_153009
Saint Louis,United States,Missouri,20160730_122627
Saint Louis,United States,Missouri,20160721_014426
Saint Louis,United States,Missouri,20160712_004056
Saint Louis,United States,Missouri,20160710_233042
Saint Louis,United States,Missouri,20160708_225756
Saint Louis,United States,Missouri,20160706_211817
Saint Louis,United States,Missouri,20160704_212432
Saint Louis,United States,Missouri,20160703_205433
South Gate,United States,California,20160626_024548
South Gate,United States,California,20160621_024240
South Gate,United States,California,20160614_001407
South Gate,United States,California,20160604_144156
South Gate,United States,California,20160530_180828
South Gate,United States,California,20160529_180057
South Gate,United States,California,20160525_230426
Saint Louis,United States,Missouri,20160504_234927
Saint Louis,United States,Missouri,20160503_001424
Saint Louis,United States,Missouri,20160429_223657
Saint Louis,United States,Missouri,20160427_235317
Saint Louis,United States,Missouri,20160425_235518
Saint Louis,United States,Missouri,20160422_212537
Saint Louis,United States,Missouri,20160421_000549
Saint Louis,United States,Missouri,20160418_215401
Saint Louis,United States,Missouri,20160413_233057
Saint Louis,United States,Missouri,20160408_211148
Saint Louis,United States,Missouri,20160405_212158
University City,United States,Missouri,20160329_232902
University City,United States,Missouri,20160319_223708
South Gate,United States,California,20160315_221432
South Gate,United States,California,20160312_171032
University City,United States,Missouri,20160305_182522
University City,United States,Missouri,20160207_235922
University City,United States,Missouri,20160123_215932
South Gate,United States,California,20160111_005644
South Gate,United States,California,20160103_002402
South Gate,United States,California,20151230_182110
Cudahy,United States,California,20151215_183232
South Gate,United States,California,20151213_163659
Saint Louis,United States,Missouri,20151212_033205
University City,United States,Missouri,20151205_174720
Saint Louis,United States,Missouri,20151204_220706
University City,United States,Missouri,20151203_182730
University City,United States,Missouri,20151201_190902
University City,United States,Missouri,20151128_194833
Saint Louis,United States,Missouri,20151120_221638
University City,United States,Missouri,20151119_174908
Saint Louis,United States,Missouri,20151106_223241
Saint Louis,United States,Missouri,20151030_211322
University City,United States,Missouri,20151025_234159
Saint Louis,United States,Missouri,20151009_212116
University City,United States,Missouri,20151003_160437
University City,United States,Missouri,20150915_135344
University City,United States,Missouri,20150912_130015